longitude,latitude,sentiment
-70.1004,41.2815,0.5
56.3427648,25.1243348,-0.4
114.26163725,30.594726,0
28.896205,41.03416,0.15000000000000002
3.48807167,6.43278396,0
-0.27246159,5.58631528,0
-115.49475011,33.6929266,0.2
-115.298981,36.083994,0.26666666666666666
-0.27246159,5.58631528,0
16,50,0.30000000000000004
32.5282,15.6034,0.03333333333333333
-1.53778518,54.54111466,0.42500000000000004
-118.4574,33.9833,0
-86,36,0.5
3.3180383,6.5061138,0
-122.41024101,37.79238423,0
101.68637,3.148982,-0.3
-73.4721,45.5181,-0.078125
-80.49651614,43.45494464,0
-80.28091469,25.97734614,-0.03333333333333333
-1.2578,51.7519,0
-86.4482,42.1111,0
34.3025,31.3439,0
34.3025,31.3439,0
-115.149,36.1675,-0.023809523809523805
-0.3122852,53.75863647,0
-115.149,36.1675,-0.06666666666666667
-113.621,53.439,0.1875
-97.1397,49.8873,0.21814799783549782
-113.5985369,53.4287614,-0.05555555555555555
-86.2909,36.2078,0
-0.82878396,51.29053926,0
-96.62249756,32.92520142,0.3181818181818182
-96.86669922,32.59680176,0
-97.00299835,32.76839828,0
-89,40,0.14208333333333334
-118.35595671,34.14017259,0
153.3921,-28.0183,0.15625
-72.67440491,40.81829774,0.35
-76.07248,39.67244,0.5681818181818181
7.50141676,9.04335291,0.06200000000000001
-73.0104,40.8904,0
73.8567,18.5203,0
-81.45925373,28.12991488,0.2848484848484848
-95.56404977,29.56304729,0.65
-122.39255,40.5876,-0.2928571428571428
-77.5817439,35.2640291,0
-77.4211,38.9244,0.18316326530612242
34.45,31.5167,-0.4
-85.18291508,34.2789429,0.425
-118.350552,33.833741,0.11249999999999999
-66.91487202,10.50502625,0.05
27.8709,-26.1369,0
-122.41516113,37.78591078,-0.03571428571428571
-86.1110272,42.778624,0.3333333333333333
34.45,31.5167,0.11607142857142858
150.94014328,-33.88987306,0.1
-80.24124513,25.72701629,0.5
-79.50354109,43.77141027,-0.00833333333333334
-73.98481,40.75194,-0.017045454545454548
50.98904,35.831234,-0.1
-77.53108134,37.26228035,-0.5777777777777778
-73.97833333,40.74833333,0
-83.0128414,42.3228911,0
-122.39608037,47.68649273,0
-73.4829,41.0757,0.05
-95.43664013,29.73815448,-0.3125
-96.4597,32.92,0.3333333333333333
-77.24752,38.66104,0
-73.8531,40.7493,0
-81.32806152,48.47593351,0.3
-72.7,41.6,-0.128125
-82.5558,35.5799,0
101.7109,3.1581,0.85
-122.35771894,47.62360439,0
-115.31034546,36.08690587,0.08333333333333334
-75.1651,39.9527,0.5
-73.2978,41.2528,-0.34375
-73.99768487,40.73666111,0
-95.55706,29.97034,0.4
0.20094055,51.57075587,0
153.41078748,-28.08881276,0
-4.31246561,55.88479416,0
0.12241,51.45118,-0.0027272727272727253
-118.2445,34.0564,0.1
-76.477847,39.341506,0
-99.1332,19.4326,0.375
-89.2115,13.6918,0
-0.54092646,52.39173352,0
-4.28998226,55.87882219,0
-95.3694,29.7602,0.13636363636363635
-71.0661,42.3583,-0.5
-73.8517188,42.614541,0
21.06765747,52.18572084,0
-80.34587145,25.9844537,0.25
-74.0007613,40.7207559,0
73.79909931,18.59331983,0.45
-118.2445,34.0564,0
-84.24521,34.9598299,0.3333333333333333
-87.6461792,41.90023277,0
-86.99509,30.63727,0.25
-97.7475,30.2677,0.01783333333333334
12.05655,49.02838,0.5
-96.804985,32.861895,-0.15000000000000002
-1.16667,54.5167,0.5
3.39583,6.45306,0.25
-0.1094,51.5141,0
-97.73549055,30.26585335,-0.06666666666666667
-117.73614,34.10745,0.15
-80.2533,35.824,0.26785714285714285
-73.94277,40.65217,0
-87.6501399,41.9086799,0.12421875
101.7109,3.1581,0.21875
-105.259,40.0194,0
0.24142027,52.02573834,0
-66.50418,45.84793,0.25
-74.46848886,39.35713404,0
-80.7197,32.184,-0.234375
-75.82666667,38.88388889,0
-117.25990176,32.93156314,0.3766666666666667
-81.09476324,32.06218899,0.16727272727272727
-79.3872,43.648,-0.05681818181818182
-74.0064,40.7142,0.040606060606060604
-110.95050596,32.14798803,0.6
-82.4502,27.1,0
-73.6525,40.6964,0.4681818181818182
-1.139461,51.56985,-0.1
-99.24090743,28.434374,0
-70.1004,41.2815,0.5
144.9661,-37.8156,0.25
-1.93048239,53.60276332,0
0.61300278,51.65148181,0
-87.7214,41.6264,0.05
-72.9273,40.9537,0.04659090909090913
-71.45,41.45,0.125
-93.7419,44.9064,0
-96.86795379,32.71955328,0.25
-120.23349,39.19679,-0.02291666666666667
